holiday_id;destination;description;price
384;London;Explore Buckingham Palace and the Tower of London.;300
738;Edinburgh;Visit Edinburgh Castle and climb Arthur's Seat.;280
235;Manchester;Discover the vibrant music scene and the Museum of Science and Industry.;200
447;Liverpool;Explore the Beatles Story Museum and the Albert Dock.;220
520;Glasgow;Visit the Kelvingrove Art Gallery and Museum and the Glasgow Cathedral.;180
855;Birmingham;Discover the Jewellery Quarter and Cadbury World.;210
971;Leeds;Explore the Royal Armouries Museum and the Leeds Art Gallery.;190
775;Bristol;Visit the Clifton Suspension Bridge and the SS Great Britain.;230
487;Sheffield;Discover the Millennium Gallery and the Winter Garden.;200
319;Newcastle upon Tyne;Explore the Quayside and the Baltic Centre for Contemporary Art.;190
600;Bath;Relax in the Roman Baths and visit the Bath Abbey.;250
877;Oxford;Explore the historic colleges and the Bodleian Library.;230
949;Cambridge;Visit the colleges and punt on the River Cam.;210
435;York;See the York Minster and walk the historic city walls.;180
119;Chester;Explore the Roman Amphitheatre and the Chester Zoo.;200
616;Canterbury;Visit the Canterbury Cathedral and the Westgate Gardens.;240
278;Durham;See the Durham Cathedral and the Durham Castle.;210
145;Salisbury;Visit the Salisbury Cathedral and the Stonehenge.;260
811;  Stonehenge;Explore the prehistoric monument and the surrounding countryside.;230
597;Lake District;Hike in the scenic mountains and visit the charming villages.;200
347;Peak District;Explore the national park and visit the Chatsworth House.;190
375;Cornwall;Relax on the beaches and visit the Eden Project.;240
726;Devon;Explore the Jurassic Coast and visit the Exeter Cathedral.;210
215;Dorset;See the Durdle Door and visit the Corfe Castle.;180
932; Brighton;Enjoy the pier and the Royal Pavilion.;200
472;Bournemouth   ;Relax on the beaches and visit the Bournemouth Gardens.;220
197;Southampton;Explore the SeaCity Museum and the Tudor House and Garden.;210
717;Portsmouth;Visit the Historic Dockyard and the Spinnaker Tower.;190
363;Plymouth;     See the Plymouth Hoe and the National Marine Aquarium.;200
221;Nottingham;Explore the Nottingham Castle and the City of Caves.;230
698;Leicester;Visit the King Richard III Visitor Centre and the National Space Centre.;210
182;Coventry;See the Coventry Cathedral and the Herbert Art Gallery and Museum.;190
842;Stoke-on-Trent;Discover the World of Wedgwood and the Gladstone Pottery Museum.;200
414;Derby;Explore the Derby Museum and Art Gallery and the Silk Mill.;220
495;Norwich;Visit the Norwich Cathedral and the Sainsbury Centre for Visual Arts.;210
121;Ipswich;See the Christchurch Mansion and the Ipswich Waterfront.;190
649;Colchester;Explore the Colchester Castle and the Colchester Zoo.;200
797;Lincoln;Visit the Lincoln Cathedral and the Lincoln Castle.;230
397;Stratford-upon-Avon;See Shakespeare's Birthplace and the Royal Shakespeare Theatre.;220
958;Warwick;Explore the Warwick Castle and the Lord Leycester Hospital.;190
541;Cardiff;Visit the Cardiff Castle and the National Museum Cardiff.;210
101;Swansea;Explore the Gower Peninsula and the National Waterfront Museum.;230
211;Belfast;See the Titanic Belfast and the Botanic Gardens.;220
989; Loch Ness  ;      Search for Nessie and visit the Urquhart Castle.;180
250;Isle of Skye;Explore the Fairy Pools and the Old Man of Storr.;200
159;Scottish Highlands;Hike in the Cairngorms National Park and visit the Eilean Donan Castle.;240
898;Channel Islands;Relax on the beaches and explore the historical sites.;220
458;Isle of Man;Visit the Laxey Wheel and the Peel Castle.;190
761;Giant's Causeway;See the unique rock formations and explore the Causeway Coast.;210
172;Hadrian's Wall;Walk along the historic wall and visit the Roman forts.;240
